time,device_address,physical_payload,gateway,crc_status,frequency,spreading_factor,bandwidth,code_rate,rssi,snr,size,mtype,fcnt,fport
2020-07-03T03:22:30.072139Z,-1,,7276ff002e062804,-1,868300000,7,250,4/8,-97,-12.5,-1,-1,-1,-1
2020-07-03T03:22:48.995583Z,-1,,7276ff002e062804,-1,868300000,8,125,4/5,-104,-10.5,-1,-1,-1,-1
2020-07-03T03:23:13.231528Z,-1,,7276ff002e062804,-1,868100000,10,125,4/5,-96,-18.2,-1,-1,-1,-1
2020-07-03T03:23:41.980339Z,26012708,QAgnASYAogMFzpibR7KM7OkGWYiUW87Jyl6jiEYh1hj7kM+tpPg=,7276ff002e062804,1,868500000,12,125,4/5,-101,-13,-1,010,930,5
2020-07-03T03:23:48.502309Z,-1,,7276ff002e062804,-1,868500000,12,125,4/5,-102,-21.2,-1,-1,-1,-1
2020-07-03T03:23:49.954534Z,-1,,7276ff002e062804,-1,867500000,11,125,4/5,-89,-19.2,-1,-1,-1,-1
2020-07-03T03:23:55.466512Z,260125a5,QKUlASYABAEFgC7v2uKnwZ2PCzxXr1J63DSYS+FjwVFL+rtHGww=,7276ff002e062804,1,868100000,12,125,4/5,-94,-18,-1,010,260,5
2020-07-03T03:24:08.594919Z,004c0eb4,QLQOTACANwAFyVAui3xg09eyUiFCN07raRyLtws=,0000024b0b031c97,1,867900000,9,125,4/5,-111,-2.5,-1,010,55,5
2020-07-03T03:24:09.391901Z,27000235,QDUCACcA8BsF/dfjH3XPHq5uq3/1rR77Y7bS56P0xWdM7sjTYd9fvs8sIjkZSuNSN4zVRqft+PrNO+q0YeDGjw==,0000024b0b031c97,1,868500000,8,125,4/5,-102,4.8,-1,010,7152,5
2020-07-03T03:24:14.401108Z,26012682,QIImASYAdJYBLASlYn504+xE9A==,0000024b0b031c97,1,868100000,7,125,4/5,-78,9.2,-1,010,38516,1
2020-07-03T03:24:20.384995Z,270002a1,QKECACcATH4F8GxhJj4qvpGM+MtuoJ87KPZedAJzcA==,0000024b0b031c97,1,867300000,8,125,4/5,-95,3.2,-1,010,32332,5
2020-07-03T03:24:33.787943Z,26012572,QHIlASaAYiEFhoNrqshnYfP+4s4MnDAY30yhVG4=,0000024b0b031c97,1,868100000,12,125,4/5,-87,8.8,-1,010,8546,5
2020-07-03T03:24:36.546173Z,26012682,QIImASYAdZYBCiEiYuZL4CQumg==,0000024b0b031c97,1,867900000,7,125,4/5,-78,9.5,-1,010,38517,1
2020-07-03T03:24:41.485853Z,27007d68,QGh9ACcABQACLXgDzzcvMR6HJg7nuJEmEt7wkOrM,0000024b0b031c97,1,867100000,8,125,4/5,-96,3.5,-1,010,5,2
2020-07-03T03:24:51.051986Z,27007d4b,gEt9ACcAdCcC7E0/W2WQB1Thz4w4uBZY3RcVvEARtBpAoj6HoVZ8WZ2kptQokjp8PJFmslZj0VB00BGeu6I7quUAffTK3V8UoGdQX54zLOKzBbx0XBeQY3pLzMG6+p6M5fWuHNV0BYZOVIKDPdIXnMV1ibb6hfL1NEgWskWE0wphhLoeEbKh4mqLaMnQmHPM/t6FiWHnbrzvB30l1cVCCC3Q0krLXlAIeUYqURFxfqBv8bcHAx3TcMw2LtygUg9ESVdncC3Xb5FRYrPLqpQvKMMTtixG1gwbypIw4dQBnf9b6hweEKxAE57EeLHPoyy1Wa7ql9F8LzHAvfa1FXUq,0000024b0b031c97,1,867300000,8,125,4/5,-105,1,-1,100,10100,2
2020-07-03T03:24:53.891881Z,14000002,QAIAABSA3P4KGqSqPL/XthpgrkinCq+lhrK1nRs=,0000024b0b031c97,1,868500000,12,125,4/5,-108,-7.8,-1,010,65244,10
2020-07-03T03:24:56.886727Z,00fabb85,QIW7+gCA1QgFxh5IXvuLWOc0GygQT/n7bEckpQzigKEWaUs=,0000024b0b031c97,1,867300000,7,125,4/5,-101,0.2,-1,010,2261,5
2020-07-03T03:24:58.691175Z,26012682,QIImASYAdpYBaINK3oarTyq6Lw==,0000024b0b031c97,1,867300000,7,125,4/5,-76,9.5,-1,010,38518,1
2020-07-03T03:25:04.607014Z,2601282d,QC0oASaASCQFWVkXZBII6/teHDaDhZeX/DWidwM=,0000024b0b031c97,1,868100000,12,125,4/5,-101,-0.8,-1,010,9288,5
2020-07-03T03:25:05.674547Z,-1,ACxEAdB+1bNwdhIAAKw71v+9131zUFs=,0000024b0b031c97,1,868500000,7,125,4/5,-109,-3.8,-1,000,-1,-1
